Date,Price_Merged
2012-05-04,13.42
2012-05-07,12.96
2012-05-08,12.8
2012-05-09,12.85
2012-05-10,12.8
2012-05-11,12.74
2012-05-14,12.4
2012-05-15,12.43
2012-05-16,12.45
2012-05-17,12.96
2012-05-18,12.7
2012-05-21,12.88
2012-05-22,12.88
2012-05-23,12.7
2012-05-24,12.8
2012-05-25,12.8
2012-05-28,12.84
2012-05-29,13.28
2012-05-30,13.0
2012-05-31,12.74
2012-06-01,12.86
2012-06-04,12.5
2012-06-05,12.5
2012-06-06,12.4
2012-06-07,12.58
2012-06-08,12.22
2012-06-11,12.7
2012-06-12,12.65
2012-06-13,12.6
2012-06-14,12.72
2012-06-15,12.1
2012-06-18,13.14
2012-06-19,12.94
2012-06-20,13.18
2012-06-21,13.4
2012-06-22,13.0
2012-06-25,12.9
2012-06-26,12.86
2012-06-27,12.94
2012-06-28,13.02
2012-06-29,13.02
2012-07-02,13.06
2012-07-03,13.3
2012-07-04,13.1
2012-07-05,13.2
2012-07-06,13.32
2012-07-09,13.08
2012-07-10,12.94
2012-07-11,12.8
2012-07-12,12.88
2012-07-13,13.38
2012-07-16,13.76
2012-07-17,13.7
2012-07-18,13.4
2012-07-19,13.04
2012-07-20,13.6
2012-07-23,13.48
2012-07-24,13.26
2012-07-25,13.2
2012-07-26,13.08
2012-07-27,13.36
2012-07-30,13.94
2012-07-31,13.98
2012-08-01,13.9
2012-08-02,14.06
2012-08-03,13.8
2012-08-06,13.8
2012-08-07,13.93
2012-08-08,14.06
2012-08-09,14.06
2012-08-10,14.02
2012-08-13,14.02
2012-08-14,14.14
2012-08-15,14.04
2012-08-16,13.92
2012-08-17,13.9
2012-08-20,13.88
2012-08-21,13.86
2012-08-22,13.84
2012-08-23,13.8
2012-08-24,13.6
2012-08-27,13.68
2012-08-28,13.76
2012-08-29,13.8
2012-08-30,13.8
2012-08-31,14.0
2012-09-03,13.94
2012-09-04,13.76
2012-09-05,13.6
2012-09-06,13.62
2012-09-07,13.96
2012-09-10,14.1
2012-09-11,13.94
2012-09-12,13.7
2012-09-13,13.76
2012-09-14,13.94
2012-09-17,13.94
2012-09-18,14.1
2012-09-19,13.96
2012-09-20,13.86
2012-09-21,13.82
2012-09-24,14.26
2012-09-25,14.1
2012-09-26,14.0
2012-09-27,13.96
2012-09-28,14.2
2012-10-01,14.06
2012-10-02,13.98
2012-10-03,13.9
2012-10-04,14.0
2012-10-05,13.98
2012-10-08,13.92
2012-10-09,13.92
2012-10-10,13.98
2012-10-11,14.1
2012-10-12,14.3
2012-10-15,14.26
2012-10-16,14.28
2012-10-17,14.62
2012-10-18,14.76
2012-10-19,14.6
2012-10-22,14.5
2012-10-23,14.4
2012-10-24,14.26
2012-10-25,14.24
2012-10-26,14.27
2012-10-29,14.3
2012-10-30,14.36
2012-10-31,14.5
2012-11-01,14.506666666666666
2012-11-02,14.513333333333334
2012-11-05,14.52
2012-11-06,14.58
2012-11-07,14.6
2012-11-08,14.6
2012-11-09,14.58
2012-11-12,14.52
2012-11-13,14.5
2012-11-14,14.5
2012-11-15,14.5
2012-11-16,14.48
2012-11-19,14.48
2012-11-20,14.48
2012-11-21,14.5
2012-11-22,14.5
2012-11-23,14.5
2012-11-26,14.52
2012-11-27,14.5
2012-11-28,15.12
2012-11-29,15.56
2012-11-30,15.86
2012-12-03,16.16
2012-12-04,16.6
2012-12-05,16.0
2012-12-06,16.04
2012-12-07,15.76
2012-12-10,15.78
2012-12-11,15.9
2012-12-12,15.96
2012-12-13,15.88
2012-12-14,15.94
2012-12-17,15.52
2012-12-18,15.16
2012-12-19,15.96
2012-12-20,16.16
2012-12-21,16.52
2012-12-24,16.613333333333333
2012-12-25,16.706666666666667
2012-12-26,16.8
