Date,Price_Merged
2012-04-16,2574.0
2012-04-17,2590.0
2012-04-18,2572.0
2012-04-19,2550.0
2012-04-20,2550.0
2012-04-23,2546.0
2012-04-24,2558.0
2012-04-25,2580.0
2012-04-26,2582.0
2012-04-27,2584.0
2012-04-30,2588.0
2012-05-01,2570.0
2012-05-02,2552.0
2012-05-03,2572.0
2012-05-04,2566.0
2012-05-07,2552.0
2012-05-08,2536.0
2012-05-09,2520.0
2012-05-10,2508.0
2012-05-11,2506.0
2012-05-14,2450.0
2012-05-15,2396.0
2012-05-16,2386.0
2012-05-17,2418.0
2012-05-18,2370.0
2012-05-21,2394.0
2012-05-22,2392.0
2012-05-23,2382.0
2012-05-24,2358.0
2012-05-25,2348.0
2012-05-28,2348.0
2012-05-29,2306.0
2012-05-30,2310.0
2012-05-31,2340.0
2012-06-01,2420.0
2012-06-04,2400.0
2012-06-05,2370.0
2012-06-06,2416.0
2012-06-07,2444.0
2012-06-08,2430.0
2012-06-11,2456.0
2012-06-12,2448.0
2012-06-13,2440.0
2012-06-14,2350.0
2012-06-15,2360.0
2012-06-18,2376.0
2012-06-19,2390.0
2012-06-20,2424.0
2012-06-21,2432.0
2012-06-22,2502.0
2012-06-25,2624.0
2012-06-26,2674.0
2012-06-27,2714.0
2012-06-28,2688.0
2012-06-29,2650.0
2012-07-02,2716.0
2012-07-03,2760.0
2012-07-04,2750.0
2012-07-05,2764.0
2012-07-06,2754.0
2012-07-09,2728.0
2012-07-10,2746.0
2012-07-11,2706.0
2012-07-12,2696.0
2012-07-13,2700.0
2012-07-16,2766.0
2012-07-17,2734.0
2012-07-18,2722.0
2012-07-19,2724.0
2012-07-20,2716.0
2012-07-23,2688.0
2012-07-24,2680.0
2012-07-25,2680.0
2012-07-26,2674.0
2012-07-27,2698.0
2012-07-30,2704.0
2012-07-31,2734.0
2012-08-01,2770.0
2012-08-02,2764.0
2012-08-03,2758.0
2012-08-06,2730.0
2012-08-07,2744.0
2012-08-08,2758.0
2012-08-09,2728.0
2012-08-10,2724.0
2012-08-13,2712.0
2012-08-14,2700.0
2012-08-15,2712.0
2012-08-16,2716.0
2012-08-17,2704.0
2012-08-20,2704.0
2012-08-21,2704.0
2012-08-22,2704.0
2012-08-23,2734.0
2012-08-24,2754.0
2012-08-27,2737.0
2012-08-28,2720.0
2012-08-29,2720.0
2012-08-30,2682.0
2012-08-31,2740.0
2012-09-03,2760.0
2012-09-04,2730.0
2012-09-05,2726.0
2012-09-06,2702.0
2012-09-07,2750.0
2012-09-10,2760.0
2012-09-11,2772.0
2012-09-12,2798.0
2012-09-13,2798.0
2012-09-14,2870.0
2012-09-17,2890.0
2012-09-18,2864.0
2012-09-19,2830.0
2012-09-20,2828.0
2012-09-21,2810.0
2012-09-24,2802.0
2012-09-25,2798.0
2012-09-26,2792.0
2012-09-27,2780.0
2012-09-28,2784.0
2012-10-01,2760.0
2012-10-02,2760.0
2012-10-03,2744.0
2012-10-04,2756.0
2012-10-05,2752.0
2012-10-08,2760.0
2012-10-09,2730.0
2012-10-10,2724.0
2012-10-11,2698.0
2012-10-12,2716.0
2012-10-15,2690.0
2012-10-16,2708.0
2012-10-17,2680.0
2012-10-18,2678.0
2012-10-19,2670.0
2012-10-22,2668.0
2012-10-23,2650.0
2012-10-24,2678.0
2012-10-25,2658.0
2012-10-26,2646.0
2012-10-29,2634.0
2012-10-30,2656.0
2012-10-31,2650.0
2012-11-01,2640.0
2012-11-02,2630.0
2012-11-05,2620.0
2012-11-06,2650.0
2012-11-07,2582.0
2012-11-08,2580.0
2012-11-09,2630.0
2012-11-12,2610.0
2012-11-13,2590.0
2012-11-14,2550.0
2012-11-15,2502.0
2012-11-16,2506.0
2012-11-19,2500.0
2012-11-20,2480.0
2012-11-21,2508.0
2012-11-22,2508.0
2012-11-23,2500.0
2012-11-26,2510.0
2012-11-27,2550.0
2012-11-28,2586.0
2012-11-29,2586.0
2012-11-30,2558.0
2012-12-03,2530.0
2012-12-04,2542.0
2012-12-05,2540.0
2012-12-06,2610.0
2012-12-07,2648.0
2012-12-10,2620.0
2012-12-11,2630.0
2012-12-12,2596.0
2012-12-13,2594.0
2012-12-14,2560.0
2012-12-17,2526.0
2012-12-18,2558.0
2012-12-19,2578.0
2012-12-20,2540.0
2012-12-21,2570.0
2012-12-24,2570.0
2012-12-25,2570.0
2012-12-26,2570.0
2012-12-27,2552.0
2012-12-28,2530.0
2012-12-31,2540.0
2013-01-01,2550.0
2013-01-02,2560.0
2013-01-03,2612.0
2013-01-04,2650.0
2013-01-07,2662.0
2013-01-08,2646.0
2013-01-09,2648.0
2013-01-10,2636.0
2013-01-11,2688.0
2013-01-14,2698.0
2013-01-15,2708.0
2013-01-16,2698.0
2013-01-17,2714.0
2013-01-18,2800.0
2013-01-21,2890.0
2013-01-22,2814.0
2013-01-23,2786.0
2013-01-24,2792.0
2013-01-25,2820.0
2013-01-28,2784.0
2013-01-29,2804.0
2013-01-30,2844.0
2013-01-31,2786.0
2013-02-01,2820.0
2013-02-04,2880.0
2013-02-05,2912.0
2013-02-06,2894.0
2013-02-07,2888.0
2013-02-08,2896.0
2013-02-11,2880.0
2013-02-12,2864.0
2013-02-13,2880.0
2013-02-14,2860.0
2013-02-15,2840.0
2013-02-18,2850.0
2013-02-19,2850.0
2013-02-20,2882.0
2013-02-21,2896.0
2013-02-22,2870.0
2013-02-25,2900.0
2013-02-26,2870.0
2013-02-27,2890.0
2013-02-28,2920.0
2013-03-01,2910.0
2013-03-04,2920.0
2013-03-05,2986.0
2013-03-06,2992.0
2013-03-07,2942.0
2013-03-08,2994.0
2013-03-11,2970.0
2013-03-12,2960.0
2013-03-13,2968.0
2013-03-14,2860.0
2013-03-15,2844.0
2013-03-18,2790.0
2013-03-19,2710.0
2013-03-20,2722.0
2013-03-21,2810.0
2013-03-22,2792.0
2013-03-25,2814.0
2013-03-26,2868.0
2013-03-27,2988.0
2013-03-28,2966.6666666666665
2013-03-29,2945.333333333333
2013-04-01,2924.0
2013-04-02,2886.0
2013-04-03,2910.0
2013-04-04,2896.0
2013-04-05,2888.0
2013-04-08,2836.0
2013-04-09,2858.0
2013-04-10,2880.0
2013-04-11,2866.0
2013-04-12,2920.0
2013-04-15,2884.0
2013-04-16,2884.0
2013-04-17,2910.0
2013-04-18,2898.0
