Date,Price_Merged
2012-01-13,52.7
2012-01-16,51.7
2012-01-17,53.9
2012-01-18,53.9
2012-01-19,51.9
2012-01-20,50.6
2012-01-23,50.5
2012-01-24,50.4
2012-01-25,50.5
2012-01-26,51.1
2012-01-27,53.6
2012-01-30,52.95
2012-01-31,53.65
2012-02-01,54.5
2012-02-02,54.5
2012-02-03,54.5
2012-02-06,52.8
2012-02-07,53.0
2012-02-08,52.0
2012-02-09,54.0
2012-02-10,52.15
2012-02-13,52.2
2012-02-14,51.85
2012-02-15,51.85
2012-02-16,50.6
2012-02-17,50.9
2012-02-20,51.4
2012-02-21,51.45
2012-02-22,51.9
2012-02-23,52.6
2012-02-24,52.0
2012-02-27,50.5
2012-02-28,51.3
2012-02-29,53.0
2012-03-01,54.85
2012-03-02,57.5
2012-03-05,57.4
2012-03-06,55.8
2012-03-07,55.4
2012-03-08,57.4
2012-03-09,58.4
2012-03-12,58.95
2012-03-13,59.65
2012-03-14,62.9
2012-03-15,61.9
2012-03-16,64.0
2012-03-19,64.5
2012-03-20,64.75
2012-03-21,63.05
2012-03-22,62.8
2012-03-23,62.95
2012-03-26,64.0
2012-03-27,64.0
2012-03-28,64.0
2012-03-29,63.9
2012-03-30,63.0
2012-04-02,62.5
2012-04-03,62.5
2012-04-04,62.1
2012-04-05,62.1
2012-04-06,62.1
2012-04-09,62.1
2012-04-10,62.1
2012-04-11,62.0
2012-04-12,62.5
2012-04-13,64.9
2012-04-16,64.85
2012-04-17,66.5
2012-04-18,67.8
2012-04-19,67.25
2012-04-20,67.0
2012-04-23,65.9
2012-04-24,65.0
2012-04-25,65.0
2012-04-26,65.3
2012-04-27,65.0
2012-04-30,65.0
2012-05-01,66.0
2012-05-02,67.0
2012-05-03,67.0
2012-05-04,66.2
2012-05-07,66.4
2012-05-08,67.9
2012-05-09,68.05
2012-05-10,67.5
2012-05-11,67.75
2012-05-14,67.2
2012-05-15,65.2
2012-05-16,61.1
2012-05-17,63.0
2012-05-18,61.25
2012-05-21,61.1
2012-05-22,60.6
2012-05-23,59.75
2012-05-24,57.95
2012-05-25,59.1
2012-05-28,60.1
2012-05-29,61.0
2012-05-30,61.35
2012-05-31,65.0
2012-06-01,62.3
2012-06-04,60.2
2012-06-05,60.8
2012-06-06,60.5
2012-06-07,61.5
2012-06-08,61.5
2012-06-11,66.0
2012-06-12,65.575
2012-06-13,65.15
2012-06-14,61.5
2012-06-15,58.5
2012-06-18,61.0
2012-06-19,62.0
2012-06-20,62.8
2012-06-21,62.45
2012-06-22,61.0
2012-06-25,61.2
2012-06-26,62.0
2012-06-27,61.1
2012-06-28,62.0
2012-06-29,62.95
2012-07-02,62.5
2012-07-03,63.0
2012-07-04,63.3
2012-07-05,63.25
2012-07-06,63.0
2012-07-09,62.2
2012-07-10,62.9
2012-07-11,62.0
2012-07-12,61.9
2012-07-13,62.0
2012-07-16,62.25
2012-07-17,62.3
2012-07-18,61.65
2012-07-19,61.45
2012-07-20,59.45
2012-07-23,57.75
2012-07-24,58.1
2012-07-25,58.45
2012-07-26,58.65
2012-07-27,58.45
2012-07-30,58.95
2012-07-31,58.8
2012-08-01,59.55
2012-08-02,59.7
2012-08-03,59.85
2012-08-06,59.5
2012-08-07,59.25
2012-08-08,59.0
2012-08-09,59.45
2012-08-10,59.9
2012-08-13,60.6
2012-08-14,60.1
2012-08-15,61.7
2012-08-16,60.7
2012-08-17,61.25
2012-08-20,60.78333333333333
2012-08-21,60.31666666666667
2012-08-22,59.85
2012-08-23,61.2
2012-08-24,59.9
2012-08-27,60.05
2012-08-28,60.2
2012-08-29,60.0
2012-08-30,60.25
2012-08-31,60.9
2012-09-03,61.0
2012-09-04,61.7
2012-09-05,61.5
2012-09-06,62.1
2012-09-07,64.3
2012-09-10,63.9
2012-09-11,63.0
2012-09-12,61.6
2012-09-13,62.5
2012-09-14,62.5
2012-09-17,61.65
2012-09-18,61.15
2012-09-19,62.3
2012-09-20,63.4
2012-09-21,63.95
2012-09-24,64.25
2012-09-25,65.85
2012-09-26,66.1
2012-09-27,65.7
2012-09-28,69.6
2012-10-01,66.75
2012-10-02,66.0
2012-10-03,66.0
2012-10-04,68.0
2012-10-05,71.0
2012-10-08,72.0
2012-10-09,70.95
2012-10-10,69.0
2012-10-11,69.1
2012-10-12,70.0
2012-10-15,71.5
2012-10-16,70.0
2012-10-17,72.4
2012-10-18,70.1
2012-10-19,72.0
2012-10-22,73.5
2012-10-23,73.75
2012-10-24,72.85
2012-10-25,70.9
2012-10-26,71.2
2012-10-29,71.5
2012-10-30,75.0
2012-10-31,71.9
2012-11-01,72.91666666666667
2012-11-02,73.93333333333334
2012-11-05,74.95
2012-11-06,77.15
2012-11-07,75.0
2012-11-08,74.0
2012-11-09,74.7
2012-11-12,75.5
2012-11-13,77.05
2012-11-14,77.95
2012-11-15,76.95
2012-11-16,76.0
2012-11-19,78.9
2012-11-20,78.0
2012-11-21,78.0
2012-11-22,76.0
2012-11-23,77.0
2012-11-26,78.0
2012-11-27,78.0
2012-11-28,78.0
2012-11-29,77.0
2012-11-30,77.475
2012-12-03,77.95
2012-12-04,80.6
2012-12-05,79.2
2012-12-06,80.95
2012-12-07,81.45
2012-12-10,80.4
2012-12-11,80.8
2012-12-12,81.7
2012-12-13,78.8
2012-12-14,78.0
2012-12-17,76.9
2012-12-18,78.5
2012-12-19,80.05
2012-12-20,81.7
2012-12-21,81.5
2012-12-24,81.7
2012-12-25,81.89999999999999
2012-12-26,82.1
2012-12-27,81.0
2012-12-28,83.85
2012-12-31,84.56666666666666
2013-01-01,85.28333333333333
2013-01-02,86.0
2013-01-03,87.0
2013-01-04,87.0
2013-01-07,86.4
2013-01-08,85.0
2013-01-09,86.4
2013-01-10,86.3
2013-01-11,87.0
2013-01-14,87.15
2013-01-15,87.0
2013-01-16,86.2
2013-01-17,85.1
2013-01-18,86.0
2013-01-21,86.15
2013-01-22,86.0
2013-01-23,85.5
2013-01-24,85.9
2013-01-25,84.65
2013-01-28,84.65
2013-01-29,85.14
2013-01-30,85.44
2013-01-31,85.83
2013-02-01,86.47
2013-02-04,88.09
2013-02-05,88.09
2013-02-06,88.19
2013-02-07,89.17
2013-02-08,87.01
2013-02-11,88.38
2013-02-12,89.37
2013-02-13,91.33
2013-02-14,93.49
2013-02-15,93.25
2013-02-18,92.75
2013-02-19,92.31
2013-02-20,92.31
2013-02-21,92.31
2013-02-22,91.33
2013-02-25,92.31
2013-02-26,92.17
2013-02-27,91.82
2013-02-28,93.1
2013-03-01,92.61
2013-03-04,92.26
2013-03-05,94.77
2013-03-06,95.75
2013-03-07,94.28
2013-03-08,95.26
2013-03-11,96.44
2013-03-12,96.24
2013-03-13,95.75
2013-03-14,100.46
2013-03-15,102.03
2013-03-18,100.86
2013-03-19,98.69
2013-03-20,100.95
2013-03-21,102.43
2013-03-22,102.13
2013-03-25,104.29
2013-03-26,106.26
2013-03-27,110.97
2013-03-28,110.31666666666666
2013-03-29,109.66333333333334
2013-04-01,109.01
2013-04-02,108.91
2013-04-03,109.01
2013-04-04,108.91
2013-04-05,107.83
2013-04-08,108.03
2013-04-09,109.99
2013-04-10,111.95
2013-04-11,111.95
2013-04-12,111.66
2013-04-15,112.15
2013-04-16,111.76
2013-04-17,112.25
2013-04-18,112.93
2013-04-19,112.93
2013-04-22,116.76
2013-04-23,112.44
2013-04-24,114.8
2013-04-25,113.72
2013-04-26,113.92
2013-04-29,113.82
2013-04-30,116.76
2013-05-01,118.775
2013-05-02,120.79
2013-05-03,122.56
2013-05-06,123.25
2013-05-07,121.77
2013-05-08,122.75
2013-05-09,122.75
2013-05-10,121.77
2013-05-13,122.755
2013-05-14,123.74
2013-05-15,129.63
2013-05-16,128.45
2013-05-17,125.6
2013-05-20,125.7
2013-05-21,125.21
2013-05-22,126.68
2013-05-23,122.75
2013-05-24,120.3
2013-05-27,116.37
2013-05-28,121.77
2013-05-29,124.72
2013-05-30,118.43
2013-05-31,123.25
2013-06-03,117.35
2013-06-04,115.88
2013-06-05,116.08
2013-06-06,115.39
2013-06-07,119.81
2013-06-10,122.56
2013-06-11,112.93
2013-06-12,109.74
2013-06-13,106.55
2013-06-14,108.03
2013-06-17,108.03
2013-06-18,116.86
2013-06-19,115.88
2013-06-20,110.58
2013-06-21,109.01
2013-06-24,108.03
2013-06-25,103.61
2013-06-26,111.95
2013-06-27,115.88
2013-06-28,122.75
2013-07-01,119.81
2013-07-02,114.9
2013-07-03,117.85
2013-07-04,116.57
2013-07-05,115.68
2013-07-08,110.97
2013-07-09,115.88
2013-07-10,115.88
2013-07-11,119.81
2013-07-12,122.75
2013-07-15,123.35
2013-07-16,122.26
2013-07-17,121.97
2013-07-18,124.72
2013-07-19,125.41
2013-07-22,122.56
2013-07-23,122.85
2013-07-24,126.68
2013-07-25,125.7
2013-07-26,125.7
2013-07-29,125.21
2013-07-30,124.72
2013-07-31,122.07
2013-08-01,122.66
2013-08-02,122.26
2013-08-05,120.79
2013-08-06,117.85
2013-08-07,117.45
2013-08-08,114.9
2013-08-09,114.41
2013-08-12,113.92
2013-08-13,121.28
2013-08-14,121.77
2013-08-15,118.93
2013-08-16,118.53
2013-08-19,117.45
2013-08-20,116.37
2013-08-21,115.29
2013-08-22,114.21
2013-08-23,115.1
2013-08-26,113.525
2013-08-27,111.95
2013-08-28,108.03
2013-08-29,111.46
2013-08-30,117.75
2013-09-02,117.85
2013-09-03,117.85
2013-09-04,115.98
2013-09-05,116.37
2013-09-06,117.75
2013-09-09,119.61
2013-09-10,122.75
2013-09-11,123.84
2013-09-12,122.26
2013-09-13,120.79
2013-09-16,123.93
2013-09-17,124.62
2013-09-18,123.74
2013-09-19,127.47
2013-09-20,131.1
2013-09-23,129.63
2013-09-24,125.7
2013-09-25,126.88
